id_reference;fournisseur;rang_appro;indice_client;usine;priorite;type_cycle;date_emission_commande;quantite_commande;cycle_negocie;pourcentage_avancement_outillage;date_prev_livraison_outillage;date_reelle_livraison_outillage;pourcentage_avancement_prog;date_prev_livraison_prog;date_reelle_livraison_prog;pourcentage_avancement_indus;date_prev_livraison_indus;date_reelle_livraison_indus;type_lot;date_prev_fin_usinage;date_reelle_fin_usinage;lieu_TS;date_prev_fin_TS;date_reelle_fin_TS;date_prev_reception_QI_fournisseur;date_reelle_reception_QI_fournisseur;lieu_equipement;date_prev_fin_equipement;date_reelle_fin_equipement;date_expedition;quantite_expediee;date_livraison_contractuelle;date_livraison_previsionnelle_S;date_reception_effective;quantite_receptionnee;ecart_commande;date_livraison_contractuelle_initiale;date_liberation;etat_reference;date_creation_nomenclature_appro;date_reception_matiere_fournisseur;date_liberation_previsionelle;quantite_liberee;;;;;
42265;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
39639;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
42266;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
36151;fournisseur_4;1;-;;-;Standard;10/08/2016;10;;0;;;0;;;0,00%;;;;;;;;;;;;;;23/08/2016;;25/08/2016;25/08/2016;;;;;;Stock disponible;;;;;;;;;
40734;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
36152;fournisseur_4;1;-;;-;Standard;10/08/2016;10;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;25/08/2016;25/08/2016;;;;;;Annulée;;;;;;;;;
36153;fournisseur_4;1;-;;-;Standard;10/08/2016;10;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;25/08/2016;25/08/2016;;;;;;Annulée;;;;;;;;;
39640;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
40812;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
40813;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
40814;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
40815;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
42160;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
42161;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
42562;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
36154;fournisseur_4;1;-;;-;Standard;10/08/2016;10;;0;;;0;;;0,00%;;;;;;;;;;;;;;23/08/2016;;25/08/2016;25/08/2016;;;;;;Stock disponible;;;;;;;;;
40735;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
40736;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
40737;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
39641;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
40738;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
40739;fournisseur_4;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
37753;fournisseur_4;1;-;;;Standard;20/10/2016;10;10;0;;;0;;;0,00%;;;Lot3_Released;;;;;;;;;;;;;02/11/2016;02/11/2016;;;;02/11/2016;;Notifiée;;;;;;;;;
37478;fournisseur_5;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
37480;fournisseur_3;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
33071;fournisseur_6;1;-;usine_2;-;Speedshop;06/07/2016;2;;0;;;0;;;0,00%;;;Lot3_Released;;;;;;;;;;;30/08/2016;1;02/09/2016;02/09/2016;06/09/2016;3;-1;;;Stock disponible;;;;;;;;;
35285;fournisseur_3;1;A00;usine_1;-;Speedshop;05/08/2016;10;15;0;;;0;;;0,00%;;;Lot3_Released;;;;;;;;;;;29/08/2016;10;25/08/2016;25/08/2016;31/08/2016;10;0;25/08/2016;07/09/2016;Stock disponible;;;;10;;;;;
31203;fournisseur_5;1;-;usine_1;-;Speedshop;24/06/2016;3;40;0;;;0;;;0,00%;;;Lot3_Released;;;;;;;;;;;;;14/10/2016;14/10/2016;;;;19/08/2016;;Qualité;;;;;;;;;
33014;fournisseur_5;1;-;usine_2;-;Speedshop;22/06/2016;3;5;0;;;0;;;0,00%;;;Lot3_Released;;;;;;;;;;;;;22/06/2016;08/09/2016;07/07/2016;3;0;22/06/2016;;Stock disponible;;;;;;;;;
33014;fournisseur_5;2;-;usine_2;-;Speedshop;22/06/2016;1;5;0;;;0;;;0,00%;;;Lot3_Released;22/06/2016;30/06/2016;;;;;;;;;;;22/06/2016;07/07/2016;08/07/2016;3;-2;22/06/2016;;Stock disponible;;;;;;;;;
36895;fournisseur_5;1;-;usine_2;-;Speedshop;05/09/2016;5;;0;;;0;;;0,00%;;;Lot3_Released;;;;;;;;;;;;;22/09/2016;22/09/2016;;;;;;Stock disponible;;;;;;;;;
41860;fournisseur_8;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
42047;fournisseur_8;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
41498;fournisseur_7;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
41625;fournisseur_7;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
41499;fournisseur_7;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
37425;fournisseur_7;1;-;;;;;;;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;;;Nouvelle Reference;;;;;;;;;
35525;fournisseur_2;1;-;;-;Speedshop;28/07/2016;135;25;0;;;0;;;0,00%;;;;;;MASA;13/10/2016;;;;;;;27/09/2016;135;15/09/2016;05/10/2016;05/10/2016;135;0;15/09/2016;05/10/2016;Stock disponible;;;;135;;13/10/2016;;17/01/2017;
19893;fournisseur_9;1;A00;usine_1;-;Speedshop;06/10/2014;25;25;;;;;;;;;;Lot3_Released;;;;;;;;Detail;;;;;12/11/2014;;;;;10/11/2014;;Annulée;;;;;;;;;
34291;fournisseur_2;1;-;;-;Speedshop;05/07/2016;15;25;0;;;0;;;0,00%;;;;;;MASA;16/09/2016;;;;;;;27/09/2016;15;05/08/2016;05/10/2016;05/10/2016;15;0;05/08/2016;05/10/2016;Stock disponible;;;;15;;16/09/2016;;;
34261;fournisseur_2;1;-;;-;Speedshop;05/07/2016;135;25;0;;;0;;;0,00%;;;;;;MASA;16/09/2016;;;;;;;27/09/2016;135;05/08/2016;05/10/2016;05/10/2016;135;0;05/08/2016;05/10/2016;Stock disponible;;;;135;;16/09/2016;;;
34262;fournisseur_2;1;-;;-;Speedshop;05/07/2016;45;25;0;;;0;;;0,00%;;;;;;MASA;08/10/2016;;;;;;;27/09/2016;45;05/08/2016;05/10/2016;05/10/2016;45;0;05/08/2016;05/10/2016;Stock disponible;;;;45;;08/10/2016;;;
34263;fournisseur_2;1;-;;-;Speedshop;05/07/2016;60;25;0;;;0;;;0,00%;;;;;;MASA;08/10/2016;;;;;;;27/09/2016;60;05/08/2016;05/10/2016;05/10/2016;60;0;05/08/2016;05/10/2016;Stock disponible;;;;60;;08/10/2016;;;
34264;fournisseur_2;1;-;;-;Speedshop;05/07/2016;8;25;0;;;0;;;0,00%;;;;;;MASA;;;;;;;;;8;05/08/2016;02/11/2016;02/11/2016;8;0;05/08/2016;02/11/2016;Stock disponible;;;;8;;;;;
34264;fournisseur_2;2;-;;-;Speedshop;05/07/2016;22;25;0;;;0;;;0,00%;;;;;;;;;;;;;;12/12/2016;22;20/12/2016;20/12/2016;23/12/2016;22;0;05/08/2016;23/12/2016;Stock disponible;;;;22;;;;;
34265;fournisseur_2;1;-;;-;Speedshop;05/07/2016;45;25;0;;;0;;;0,00%;;;;;;MASA;;;;;;;;27/09/2016;45;05/08/2016;05/10/2016;05/10/2016;45;0;05/08/2016;05/10/2016;Stock disponible;;;;45;;;;;
15911;fournisseur_10;1;A00;usine_2;-;Speedshop;14/05/2014;74;50;1;11/07/2014;14/07/2014;1;20/06/2014;09/07/2014;100,00%;17/07/2014;24/07/2014;Lot3_Released;22/07/2014;24/07/2014;Cyclone;28/07/2014;31/07/2014;13/06/2014;13/06/2014;Cyclone;31/07/2014;08/05/2014;14/08/2014;74;18/07/2014;18/08/2014;18/08/2014;74;0;18/07/2014;24/10/2014;Stock disponible;;22/05/2014;03/09/2014;;;;;;
19530;fournisseur_10;1;A00;usine_2;-;Speedshop;05/03/2014;5;35;1;04/04/2014;31/03/2014;1;28/03/2014;25/03/2014;100,00%;11/04/2014;10/04/2014;Lot3_Released;15/04/2014;14/04/2014;Cyclone;18/04/2014;17/04/2014;;;;;;08/05/2014;5;21/04/2014;12/05/2014;12/05/2014;5;0;21/04/2014;24/10/2014;Stock disponible;;07/03/2014;19/09/2014;;;;;;
15912;fournisseur_10;1;A00;usine_2;-;Speedshop;14/05/2014;68;50;1;11/07/2014;11/07/2014;1;20/06/2014;09/07/2014;100,00%;17/07/2014;17/07/2014;Lot3_Released;22/07/2014;17/07/2014;Cyclone;28/07/2014;23/07/2014;13/06/2014;13/06/2014;Cyclone;31/07/2014;;;68;18/07/2014;18/07/2014;05/08/2014;68;0;18/07/2014;04/09/2014;Stock disponible;;22/05/2014;19/09/2014;;;;;;
16241;fournisseur_10;1;A00;usine_2;-;Speedshop;14/05/2014;6;50;1;27/06/2014;15/06/2014;1;20/06/2014;15/06/2014;100,00%;27/06/2014;17/06/2014;Lot3_Released;03/07/2014;18/06/2014;Cyclone;08/07/2014;20/06/2014;13/06/2014;13/06/2014;Cyclone;31/07/2014;14/07/2014;;6;18/07/2014;18/07/2014;22/07/2014;6;0;18/07/2014;24/10/2014;Stock disponible;;22/05/2014;19/09/2014;;;;;;
19614;fournisseur_11;1;A00;usine_2;-;Speedshop;07/07/2014;6;42;1;23/05/2014;16/05/2014;1;28/04/2014;28/04/2014;100,00%;26/05/2014;02/06/2014;Lot3_Released;13/06/2014;02/07/2014;HYDE;27/06/2014;21/07/2014;;;;;;25/07/2014;6;04/07/2014;28/07/2014;30/07/2014;6;0;23/06/2014;04/08/2014;Stock disponible;;;;;;;;;
19618;fournisseur_11;1;A00;usine_2;-;Speedshop;07/07/2014;6;42;1;23/05/2014;16/05/2014;1;28/04/2014;28/04/2014;100,00%;;;Lot3_Released;;;;;;;;;;;;;;;;;;23/06/2014;;Annulée;;;;;;;;;
15806;fournisseur_10;1;A00;usine_2;-;Speedshop;17/02/2014;5;35;1;07/03/2014;07/03/2014;1;14/03/2014;07/03/2014;100,00%;18/04/2014;18/04/2014;Lot3_Released;23/04/2014;18/04/2014;Cyclone;28/04/2014;22/04/2014;;;;;;08/05/2014;5;07/04/2014;12/05/2014;12/05/2014;5;0;07/04/2014;15/08/2014;Stock disponible;;18/02/2014;;;;;;;
17640;fournisseur_15;1;A00;usine_1;-;Speedshop;25/08/2014;8;36;100;;;100;;;;;;Lot3_Released;;;;;;;;;;;;;;;;;;02/09/2014;;Annulée;;;;;;;;29/02/2016;09/03/2016
19623;fournisseur_11;1;A00;usine_2;-;Speedshop;07/07/2014;12;42;1;23/05/2014;16/05/2014;1;28/04/2014;28/04/2014;100,00%;22/04/2014;10/06/2014;Lot3_Released;13/06/2014;26/06/2014;HYDE;27/06/2014;17/07/2014;;;;;;25/07/2014;12;04/07/2014;28/07/2014;28/07/2014;12;0;23/06/2014;31/07/2014;Stock disponible;;;;;;;;;
39254;fournisseur_13;1;-;;;Standard;05/12/2016;6;49;0;;;0;;;0,00%;;;;;;;;;;;;;;28/04/2017;6;19/05/2017;03/05/2017;03/05/2017;6;0;06/04/2017;03/05/2017;Stock disponible;;;;6;;;;;
16349;fournisseur_9;1;A00;usine_1;-;Speedshop;05/06/2014;12;30;;;;100;18/07/2014;18/07/2014;10000,00%;18/07/2014;18/07/2014;Lot3_Released;22/07/2014;22/07/2014;HCL;28/07/2014;;;;;;;31/07/2014;12;01/08/2014;04/08/2014;04/08/2014;12;0;01/08/2014;21/08/2014;Stock disponible;;12/06/2014;21/08/2014;;;;;;
15836;fournisseur_10;1;A00;usine_2;-;Speedshop;05/03/2014;5;35;1;04/04/2014;31/03/2014;1;28/03/2014;21/03/2014;100,00%;22/04/2014;25/04/2014;Lot3_Released;28/04/2014;25/04/2014;Cyclone;01/05/2014;01/05/2014;;;;;;08/05/2014;5;21/04/2014;12/05/2014;12/05/2014;5;0;21/04/2014;24/10/2014;Stock disponible;;07/03/2014;19/09/2014;;;;;;
15836;fournisseur_13;1;-;;;Standard;05/12/2016;10;49;0;;;0;;;0,00%;;;;;;;;;;;;;;;;02/06/2017;02/06/2017;;;0;06/04/2017;;Industrialisation;;;;;;;;;
19626;fournisseur_11;1;A00;usine_2;-;Speedshop;07/07/2014;6;42;1;23/05/2014;16/05/2014;1;28/04/2014;28/04/2014;100,00%;22/04/2014;10/06/2014;Lot3_Released;13/06/2014;02/07/2014;HYDE;27/06/2014;21/07/2014;;;;;;25/07/2014;6;04/07/2014;28/07/2014;29/07/2014;6;0;23/06/2014;31/07/2014;Stock disponible;;;;;;;;;
19575;fournisseur_14;1;A00;usine_2;-;Speedshop;14/05/2014;12;50;1;11/07/2014;25/07/2014;1;30/07/2014;30/07/2014;100,00%;07/08/2014;07/08/2014;Lot3_Released;08/08/2014;07/08/2014;Cyclone;15/08/2014;15/08/2014;01/07/2014;01/07/2014;Cyclone;19/08/2014;02/09/2014;09/04/2015;12;15/01/2015;15/04/2015;04/05/2015;12;;18/07/2014;18/05/2015;Stock disponible;;;;12;;;;;
19549;fournisseur_11;1;A00;usine_2;-;Speedshop;02/06/2014;5;36;;;;;;;100,00%;16/04/2014;18/04/2014;Lot3_Released;30/04/2014;29/04/2014;HYDE;14/05/2014;27/05/2014;;;;;;05/06/2014;5;19/05/2014;04/06/2014;20/06/2014;5;0;22/04/2014;23/06/2014;Stock disponible;;14/03/2014;;;;;;;
16242;fournisseur_10;1;A00;usine_2;-;Speedshop;14/05/2014;12;30;1;11/07/2014;26/07/2014;1;20/06/2014;09/07/2014;100,00%;17/07/2014;25/07/2014;Lot3_Released;22/07/2014;26/07/2014;Cyclone;28/07/2014;31/07/2014;;;;;;14/08/2014;12;11/07/2014;18/08/2014;15/08/2014;12;0;11/07/2014;24/10/2014;Stock disponible;;22/05/2014;03/09/2014;;;;;;
19576;fournisseur_10;1;A00;usine_2;-;Speedshop;14/05/2014;6;50;1;11/07/2014;07/07/2014;1;30/07/2014;30/07/2014;100,00%;18/08/2014;19/08/2014;Lot3_Released;18/08/2014;20/08/2014;Cyclone;21/08/2014;25/08/2014;01/07/2014;01/07/2014;Cyclone;25/08/2014;03/09/2014;16/09/2014;6;18/07/2014;18/09/2014;17/09/2014;6;0;18/07/2014;24/10/2014;Stock disponible;;22/05/2014;26/09/2014;;;;;;
19577;fournisseur_14;1;A00;usine_2;-;Speedshop;02/06/2014;6;50;100;30/05/2015;18/06/2015;100;12/06/2015;11/06/2015;9500,00%;06/07/2015;08/07/2015;Lot3_Released;07/07/2015;08/07/2015;Cyclone;13/07/2015;16/07/2015;30/04/2015;30/04/2015;Cyclone;17/07/2015;23/07/2015;13/08/2015;6;02/04/2015;14/08/2015;19/08/2015;6;;08/08/2014;31/08/2015;Stock disponible;;;;6;;;;;
18064;fournisseur_10;1;A00;usine_2;-;Speedshop;14/05/2014;6;50;1;11/07/2014;25/07/2014;1;20/06/2014;04/07/2014;100,00%;18/08/2014;18/08/2014;Lot3_Released;19/08/2014;20/08/2014;Cyclone;25/08/2014;27/08/2014;;;Cyclone;27/08/2014;03/09/2014;17/09/2014;6;18/07/2014;19/09/2014;19/09/2014;6;0;18/07/2014;24/10/2014;Stock disponible;;22/05/2014;26/09/2014;;;;;;
16461;fournisseur_10;1;A00;usine_2;-;Speedshop;14/05/2014;6;50;;;;1;10/06/2014;10/06/2014;100,00%;04/09/2014;05/09/2014;Lot3_Released;05/09/2014;06/09/2014;Cyclone;09/09/2014;11/09/2014;;;;;;12/09/2014;6;18/07/2014;17/09/2014;15/09/2014;6;0;18/07/2014;24/09/2014;Stock disponible;;22/05/2014;24/09/2014;;;;;;
16462;fournisseur_10;1;A00;usine_2;-;Speedshop;23/05/2014;6;50;;;;;;;;;;Lot3_Released;;;;;;;;;;;;6;31/07/2014;11/07/2014;01/08/2014;6;0;31/07/2014;24/10/2014;Stock disponible;;;19/09/2014;;;;;;
16243;fournisseur_11;1;A00;usine_2;-;Speedshop;26/06/2014;6;42;;;;;;;100,00%;23/05/2014;10/06/2014;Lot3_Released;13/06/2014;;HYDE;27/06/2014;;;;;;;31/07/2014;6;07/07/2014;31/07/2014;05/08/2014;6;0;07/07/2014;11/08/2014;Stock disponible;;;;;;;;;
39256;fournisseur_13;1;-;;;Standard;05/12/2016;10;49;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;06/04/2017;;Fabrication;;;;;;;;;
38588;fournisseur_13;1;-;;;Standard;16/11/2016;11;82;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;13/03/2017;;Fabrication;;;;;;;;;
39257;fournisseur_13;1;-;;;Standard;05/12/2016;8;49;0;;;0;;;0,00%;;;;;;;;;;;;;;06/04/2017;8;13/04/2017;13/04/2017;11/04/2017;8;0;06/04/2017;11/04/2017;Stock disponible;;;;9;;;;;
39258;fournisseur_13;1;-;;;Standard;05/12/2016;9;49;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;06/04/2017;;Fabrication;;;;;;;;;
24886;fournisseur_13;1;-;;;Standard;07/11/2016;10;82;0;;;0;;;0,00%;;;;;;;;;;;;;;07/03/2017;4;24/02/2017;10/03/2017;17/03/2017;4;0;24/02/2017;17/03/2017;Stock disponible;;;;4;;;;;
24886;fournisseur_13;2;A00;;;Standard;07/11/2016;6;82;0;;;0;;;0,00%;;;Lot3_Released;;;;;;;;;;;21/03/2017;6;14/04/2017;14/04/2017;03/04/2017;6;;24/02/2017;03/04/2017;Stock disponible;;;;6;;;;;
39259;fournisseur_13;1;-;;;Standard;05/12/2016;40;49;0;;;0;;;0,00%;;;;;;;;;;;;;;03/04/2017;9;19/05/2017;19/05/2017;05/04/2017;9;0;06/04/2017;05/04/2017;Stock disponible;;;;9;;;;;
39259;fournisseur_13;2;A00;;;Standard;05/12/2016;31;49;0;;;0;;;0,00%;;;;;;;;;;;;;;;;19/05/2017;19/05/2017;;;;06/04/2017;;Fabrication;;;;;;;;;
39260;fournisseur_13;1;-;;;Standard;05/12/2016;6;49;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;06/04/2017;;Fabrication;;;;;;;;;
39261;fournisseur_13;1;-;;;Standard;05/12/2016;5;49;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;06/04/2017;;Fabrication;;;;;;;;;
39446;fournisseur_13;1;-;;;Standard;13/12/2016;11;82;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;13/03/2017;;Fabrication;;;;;;;;;
39447;fournisseur_13;1;-;;;Standard;13/12/2016;9;82;0;;;0;;;0,00%;;;;;;;;;;;;;;31/03/2017;9;07/04/2017;07/04/2017;04/04/2017;9;0;13/03/2017;04/04/2017;Stock disponible;;;;9;;;;;
39448;fournisseur_13;1;-;;;Standard;13/12/2016;6;82;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;13/03/2017;;Fabrication;;;;;;;;;
39262;fournisseur_13;1;-;;;Standard;05/12/2016;5;49;0;;;0;;;0,00%;;;;;;;;;;;;;;;;;;;;0;06/04/2017;;Fabrication;;;;;;;;;
24894;fournisseur_13;1;-;;;Standard;07/11/2016;6;82;0;;;0;;;0,00%;;;;;;;;;;;;;;;;16/06/2017;16/06/2017;;;0;24/02/2017;;Fabrication;;;;;;;;;
24639;fournisseur_13;1;-;;;Standard;07/11/2016;9;82;0;;;0;;;0,00%;;;;;;;;;;;;;;23/02/2017;9;24/02/2017;10/03/2017;09/03/2017;9;;24/02/2017;09/03/2017;Stock disponible;;;;9;;;;;
24639;fournisseur_13;2;A00;;;Standard;07/11/2016;1;82;0;;;0;;;0,00%;;;;;;;;;;;;;;;;24/02/2017;;;;;24/02/2017;;Annulée;;;;;;;;;
24640;fournisseur_13;1;-;;;Standard;07/11/2016;9;82;0;;;0;;;0,00%;;;;;;;;;;;;;;13/02/2017;9;24/02/2017;03/03/2017;27/02/2017;9;;24/02/2017;27/02/2017;Stock disponible;;;;9;;;;;
24640;fournisseur_13;2;A00;;;Standard;07/11/2016;1;82;0;;;0;;;0,00%;;;;;;;;;;;;;;;;03/03/2017;03/03/2017;;;;24/02/2017;;Annulée;;;;;;;;;
24897;fournisseur_13;1;-;;;Standard;07/11/2016;9;82;0;;;0;;;0,00%;;;;;;;;;;;;;;13/02/2017;9;24/02/2017;03/03/2017;27/02/2017;9;;24/02/2017;27/02/2017;Stock disponible;;;;9;;;;;
24897;fournisseur_13;2;A00;;;Standard;07/11/2016;1;82;0;;;0;;;0,00%;;;;;;;;;;;;;;;;03/03/2017;03/03/2017;;;;24/02/2017;;Annulée;;;;;;;;;
24898;fournisseur_13;1;-;;;Standard;07/11/2016;9;82;0;;;0;;;0,00%;;;;;;;;;;;;;;13/02/2017;9;24/02/2017;24/02/2017;25/02/2017;9;0;24/02/2017;25/02/2017;Stock disponible;;;;5;;;;;
24898;fournisseur_13;2;A00;;;Standard;07/11/2016;1;82;0;;;0;;;0,00%;;;;;;;;;;;;;;;;03/03/2017;03/03/2017;;;;24/02/2017;;Annulée;;;;;;;;;
